qid,model,gold,pred,A,B,C,D,correct
10,meta-llama/Llama-3.1-8B-Instruct,A,B,-7.0703125,-0.212890625,-7.1640625,-1.666015625,False
10,meta-llama/Llama-3.1-8B-Instruct,B,C,-2.8046875,-2.4453125,-0.194580078125,-3.6171875,False
10,meta-llama/Llama-3.1-8B-Instruct,C,D,-2.806640625,-5.82421875,-2.587890625,-0.1505126953125,False
10,meta-llama/Llama-3.1-8B-Instruct,D,D,-2.8203125,-5.4296875,-5.4921875,-0.07061767578125,True
11,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.061248779296875,-3.591796875,-8.15625,-3.513671875,True
11,meta-llama/Llama-3.1-8B-Instruct,B,B,-8.890625,-0.0025653839111328125,-11.03125,-7.67578125,True
11,meta-llama/Llama-3.1-8B-Instruct,C,C,-8.953125,-8.078125,-0.0168609619140625,-4.15625,True
11,meta-llama/Llama-3.1-8B-Instruct,D,D,-6.953125,-11.265625,-10.921875,-0.0015344619750976562,True
12,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.1029052734375,-3.541015625,-6.8828125,-2.697265625,True
12,meta-llama/Llama-3.1-8B-Instruct,B,B,-3.025390625,-0.057220458984375,-6.79296875,-5.24609375,True
12,meta-llama/Llama-3.1-8B-Instruct,C,B,-4.51171875,-0.1693115234375,-2.841796875,-2.466796875,False
12,meta-llama/Llama-3.1-8B-Instruct,D,D,-2.939453125,-5.078125,-7.875,-0.06396484375,True
13,meta-llama/Llama-3.1-8B-Instruct,A,C,-5.875,-4.5625,-0.13916015625,-2.169921875,False
13,meta-llama/Llama-3.1-8B-Instruct,B,C,-3.712890625,-2.744140625,-0.1971435546875,-2.478515625,False
13,meta-llama/Llama-3.1-8B-Instruct,C,B,-2.146484375,-0.5380859375,-1.7255859375,-2.208984375,False
13,meta-llama/Llama-3.1-8B-Instruct,D,C,-5.02734375,-6.55859375,-0.026641845703125,-4.01171875,False
14,meta-llama/Llama-3.1-8B-Instruct,A,C,-1.5966796875,-3.283203125,-0.31494140625,-3.658203125,False
14,meta-llama/Llama-3.1-8B-Instruct,B,B,-1.60546875,-0.40234375,-3.26171875,-2.43359375,True
14,meta-llama/Llama-3.1-8B-Instruct,C,D,-4.51953125,-6.47265625,-5.06640625,-0.0194244384765625,False
14,meta-llama/Llama-3.1-8B-Instruct,D,B,-3.6796875,-0.66455078125,-5.2890625,-0.82080078125,False
15,meta-llama/Llama-3.1-8B-Instruct,A,D,-3.125,-7.71875,-7.28125,-0.04681396484375,False
15,meta-llama/Llama-3.1-8B-Instruct,B,C,-7.33984375,-4.85546875,-0.0130157470703125,-6.32421875,False
15,meta-llama/Llama-3.1-8B-Instruct,C,D,-6.42578125,-8.1171875,-6.34765625,-0.00403594970703125,False
15,meta-llama/Llama-3.1-8B-Instruct,D,B,-7.1640625,-0.0859375,-7.3515625,-2.5546875,False
16,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.272216796875,-6.5078125,-7.4765625,-1.4443359375,True
16,meta-llama/Llama-3.1-8B-Instruct,B,B,-8.3125,-0.00220489501953125,-9.96875,-9.65625,True
16,meta-llama/Llama-3.1-8B-Instruct,C,C,-4.9609375,-7.6640625,-0.00846099853515625,-7.8671875,True
16,meta-llama/Llama-3.1-8B-Instruct,D,D,-3.5234375,-5.6796875,-3.3828125,-0.07110595703125,True
17,meta-llama/Llama-3.1-8B-Instruct,A,B,-2.185546875,-0.1396484375,-7.578125,-4.171875,False
17,meta-llama/Llama-3.1-8B-Instruct,B,C,-1.8984375,-1.5234375,-0.46044921875,-7.1015625,False
17,meta-llama/Llama-3.1-8B-Instruct,C,C,-3.70703125,-8.0234375,-0.035675048828125,-4.61328125,True
17,meta-llama/Llama-3.1-8B-Instruct,D,D,-6.46484375,-0.88720703125,-8.671875,-0.54345703125,True
18,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0015087127685546875,-10.53125,-9.421875,-8.0625,True
18,meta-llama/Llama-3.1-8B-Instruct,B,B,-5.2734375,-0.007320404052734375,-10.3984375,-8.7109375,True
18,meta-llama/Llama-3.1-8B-Instruct,C,C,-7.921875,-11.359375,-0.0008821487426757812,-9.625,True
18,meta-llama/Llama-3.1-8B-Instruct,D,D,-7.53125,-10.78125,-7.59375,-0.0015668869018554688,True
19,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0101318359375,-8.3828125,-7.12109375,-4.76171875,True
19,meta-llama/Llama-3.1-8B-Instruct,B,B,-4.703125,-0.0303192138671875,-7.34375,-4.1875,True
19,meta-llama/Llama-3.1-8B-Instruct,C,C,-6.18359375,-9.5390625,-0.135986328125,-2.08984375,True
19,meta-llama/Llama-3.1-8B-Instruct,D,D,-4.78515625,-5.64453125,-7.75390625,-0.01763916015625,True
20,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0146484375,-8.84375,-7.9375,-8.71875,True
20,meta-llama/Llama-3.1-8B-Instruct,B,B,-9.0078125,-0.00753021240234375,-8.4296875,-7.9765625,True
20,meta-llama/Llama-3.1-8B-Instruct,C,C,-7.94140625,-8.9765625,-0.004810333251953125,-9.2421875,True
20,meta-llama/Llama-3.1-8B-Instruct,D,D,-7.1796875,-9.9296875,-9.0859375,-0.007568359375,True
21,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.034637451171875,-4.37890625,-5.86328125,-4.28515625,True
21,meta-llama/Llama-3.1-8B-Instruct,B,B,-8.6171875,-0.004711151123046875,-8.8203125,-7.42578125,True
21,meta-llama/Llama-3.1-8B-Instruct,C,C,-7.42578125,-8.8359375,-0.0044708251953125,-7.73828125,True
21,meta-llama/Llama-3.1-8B-Instruct,D,D,-9.0234375,-11.9921875,-10.5390625,-0.004306793212890625,True
22,meta-llama/Llama-3.1-8B-Instruct,A,C,-0.76220703125,-2.96484375,-0.74658203125,-4.88671875,False
22,meta-llama/Llama-3.1-8B-Instruct,B,A,-0.9443359375,-1.0380859375,-1.3818359375,-5.1796875,False
22,meta-llama/Llama-3.1-8B-Instruct,C,C,-7.96484375,-6.21484375,-0.544921875,-0.873046875,True
22,meta-llama/Llama-3.1-8B-Instruct,D,D,-4.24609375,-7.80859375,-3.15234375,-0.059326171875,True
23,meta-llama/Llama-3.1-8B-Instruct,A,C,-6.22265625,-10.21875,-0.0020618438720703125,-10.34375,False
23,meta-llama/Llama-3.1-8B-Instruct,B,C,-8.1875,-9.140625,-0.0004317760467529297,-10.09375,False
23,meta-llama/Llama-3.1-8B-Instruct,C,D,-5.78515625,-7.84765625,-8.28125,-0.0038661956787109375,False
23,meta-llama/Llama-3.1-8B-Instruct,D,C,-6.796875,-9.078125,-0.0015468597412109375,-8.375,False
24,meta-llama/Llama-3.1-8B-Instruct,A,D,-5.9140625,-5.1015625,-2.9296875,-0.1024169921875,False
24,meta-llama/Llama-3.1-8B-Instruct,B,D,-4.8125,-6.34375,-3.560546875,-0.07623291015625,False
24,meta-llama/Llama-3.1-8B-Instruct,C,B,-4.03125,-0.048797607421875,-7.609375,-4.96875,False
24,meta-llama/Llama-3.1-8B-Instruct,D,A,-0.051605224609375,-4.34765625,-4.41015625,-5.42578125,False
25,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0231475830078125,-7.2890625,-3.8984375,-6.3515625,True
25,meta-llama/Llama-3.1-8B-Instruct,B,B,-5.59375,-0.298583984375,-1.408203125,-4.640625,True
25,meta-llama/Llama-3.1-8B-Instruct,C,C,-1.1669921875,-5.10546875,-0.38525390625,-6.16796875,True
25,meta-llama/Llama-3.1-8B-Instruct,D,D,-0.85009765625,-6.8515625,-5.3984375,-0.56884765625,True
26,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.354736328125,-5.10546875,-5.57421875,-1.2451171875,True
26,meta-llama/Llama-3.1-8B-Instruct,B,B,-3.470703125,-0.03314208984375,-8.75,-7.15625,True
26,meta-llama/Llama-3.1-8B-Instruct,C,C,-4.59765625,-0.84912109375,-0.58349609375,-5.92578125,True
26,meta-llama/Llama-3.1-8B-Instruct,D,D,-3.7421875,-3.1484375,-3.1796875,-0.11639404296875,True
27,meta-llama/Llama-3.1-8B-Instruct,A,D,-2.17578125,-6.22265625,-5.41015625,-0.1290283203125,False
27,meta-llama/Llama-3.1-8B-Instruct,B,D,-2.83203125,-5.06640625,-4.66015625,-0.0810546875,False
27,meta-llama/Llama-3.1-8B-Instruct,C,D,-4.13671875,-4.99609375,-7.13671875,-0.0255126953125,False
27,meta-llama/Llama-3.1-8B-Instruct,D,C,-2.634765625,-1.8857421875,-0.291748046875,-3.712890625,False
28,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.82080078125,-1.4775390625,-4.3671875,-1.3525390625,True
28,meta-llama/Llama-3.1-8B-Instruct,B,C,-2.615234375,-7.9296875,-0.08404541015625,-4.9765625,False
28,meta-llama/Llama-3.1-8B-Instruct,C,D,-3.78125,-6.640625,-8.828125,-0.0308380126953125,False
28,meta-llama/Llama-3.1-8B-Instruct,D,B,-1.982421875,-0.1854248046875,-4.32421875,-5.60546875,False
29,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.002933502197265625,-7.19140625,-7.58203125,-6.50390625,True
29,meta-llama/Llama-3.1-8B-Instruct,B,B,-4.265625,-0.0162506103515625,-6.984375,-7.515625,True
29,meta-llama/Llama-3.1-8B-Instruct,C,C,-4.875,-2.375,-0.11029052734375,-5.890625,True
29,meta-llama/Llama-3.1-8B-Instruct,D,D,-4.59765625,-5.70703125,-6.00390625,-0.01873779296875,True
30,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0295867919921875,-6.546875,-4.9375,-4.046875,True
30,meta-llama/Llama-3.1-8B-Instruct,B,B,-4.87109375,-0.01355743408203125,-6.60546875,-5.69921875,True
30,meta-llama/Llama-3.1-8B-Instruct,C,C,-7.359375,-7.859375,-0.0019168853759765625,-7.421875,True
30,meta-llama/Llama-3.1-8B-Instruct,D,D,-6.70703125,-8.5,-7.67578125,-0.0026950836181640625,True
31,meta-llama/Llama-3.1-8B-Instruct,A,C,-9.03125,-7.984375,-0.03289794921875,-3.455078125,False
31,meta-llama/Llama-3.1-8B-Instruct,B,D,-4.55859375,-10.0078125,-8.6015625,-0.01157379150390625,False
31,meta-llama/Llama-3.1-8B-Instruct,C,A,-0.041290283203125,-6.30859375,-8.5859375,-3.275390625,False
31,meta-llama/Llama-3.1-8B-Instruct,D,B,-5.2734375,-0.006244659423828125,-8.4140625,-7.8046875,False
32,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0033893585205078125,-8.734375,-6.62890625,-7.83203125,True
32,meta-llama/Llama-3.1-8B-Instruct,B,B,-6.2578125,-0.00644683837890625,-5.9921875,-7.3359375,True
32,meta-llama/Llama-3.1-8B-Instruct,C,C,-5.69140625,-9.3984375,-0.27099609375,-1.458984375,True
32,meta-llama/Llama-3.1-8B-Instruct,D,D,-5.23046875,-5.30859375,-8.671875,-0.0118255615234375,True
33,meta-llama/Llama-3.1-8B-Instruct,A,C,-4.88671875,-5.52734375,-0.091064453125,-3.294921875,False
33,meta-llama/Llama-3.1-8B-Instruct,B,A,-0.01120758056640625,-7.83984375,-5.85546875,-5.04296875,False
33,meta-llama/Llama-3.1-8B-Instruct,C,D,-6.37890625,-6.50390625,-8.390625,-0.0185546875,False
33,meta-llama/Llama-3.1-8B-Instruct,D,A,-0.07843017578125,-7.390625,-3.25,-4.453125,False
34,meta-llama/Llama-3.1-8B-Instruct,A,B,-4.73828125,-0.53369140625,-6.94140625,-0.93994140625,False
34,meta-llama/Llama-3.1-8B-Instruct,B,D,-2.35546875,-2.71484375,-1.66796875,-0.44873046875,False
34,meta-llama/Llama-3.1-8B-Instruct,C,A,-0.082763671875,-2.61328125,-7.16015625,-6.19140625,False
34,meta-llama/Llama-3.1-8B-Instruct,D,B,-2.87890625,-0.19091796875,-2.59765625,-3.28515625,False
35,meta-llama/Llama-3.1-8B-Instruct,A,D,-6.50390625,-6.75390625,-2.267578125,-0.11224365234375,False
35,meta-llama/Llama-3.1-8B-Instruct,B,C,-1.1171875,-3.9296875,-0.429443359375,-6.1796875,False
35,meta-llama/Llama-3.1-8B-Instruct,C,D,-5.0859375,-1.462890625,-5.9609375,-0.27490234375,False
35,meta-llama/Llama-3.1-8B-Instruct,D,C,-4.171875,-0.84326171875,-0.60888671875,-4.5625,False
36,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.03973388671875,-6.3046875,-7.0078125,-3.3203125,True
36,meta-llama/Llama-3.1-8B-Instruct,B,B,-1.57421875,-0.35498046875,-4.01171875,-2.62109375,True
36,meta-llama/Llama-3.1-8B-Instruct,C,C,-5.09375,-4.953125,-0.06072998046875,-3.091796875,True
36,meta-llama/Llama-3.1-8B-Instruct,D,D,-3.294921875,-7.54296875,-5.38671875,-0.04461669921875,True
37,meta-llama/Llama-3.1-8B-Instruct,A,D,-6.51171875,-8.484375,-8.234375,-0.01177215576171875,False
37,meta-llama/Llama-3.1-8B-Instruct,B,C,-4.9296875,-7.0078125,-0.03826904296875,-3.7578125,False
37,meta-llama/Llama-3.1-8B-Instruct,C,B,-6.94140625,-0.033905029296875,-7.73828125,-4.30078125,False
37,meta-llama/Llama-3.1-8B-Instruct,D,A,-0.045257568359375,-5.796875,-3.513671875,-5.0,False
38,meta-llama/Llama-3.1-8B-Instruct,A,B,-5.2734375,-0.006031036376953125,-9.1484375,-8.0078125,False
38,meta-llama/Llama-3.1-8B-Instruct,B,D,-9.328125,-7.26953125,-10.515625,-0.001956939697265625,False
38,meta-llama/Llama-3.1-8B-Instruct,C,B,-11.34375,-0.0006008148193359375,-8.0625,-9.609375,False
38,meta-llama/Llama-3.1-8B-Instruct,D,C,-9.3515625,-11.1328125,-0.006900787353515625,-5.0078125,False
39,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.002582550048828125,-6.25390625,-8.484375,-9.03125,True
39,meta-llama/Llama-3.1-8B-Instruct,B,B,-6.05078125,-0.00298309326171875,-9.0,-9.5,True
39,meta-llama/Llama-3.1-8B-Instruct,C,C,-8.75,-9.171875,-0.0016269683837890625,-6.6875,True
39,meta-llama/Llama-3.1-8B-Instruct,D,D,-7.36328125,-5.78515625,-8.6796875,-0.0039215087890625,True
40,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.03594970703125,-7.48828125,-3.56640625,-5.06640625,True
40,meta-llama/Llama-3.1-8B-Instruct,B,B,-1.2822265625,-0.4072265625,-7.515625,-2.892578125,True
40,meta-llama/Llama-3.1-8B-Instruct,C,A,-0.139404296875,-5.5625,-2.107421875,-5.859375,False
40,meta-llama/Llama-3.1-8B-Instruct,D,A,-0.51025390625,-6.29296875,-7.41796875,-0.93212890625,False
41,meta-llama/Llama-3.1-8B-Instruct,A,C,-11.375,-6.20703125,-0.00212860107421875,-9.453125,False
41,meta-llama/Llama-3.1-8B-Instruct,B,B,-3.013671875,-0.17041015625,-8.28125,-2.232421875,True
41,meta-llama/Llama-3.1-8B-Instruct,C,C,-5.6640625,-8.8359375,-0.0221099853515625,-4.0078125,True
41,meta-llama/Llama-3.1-8B-Instruct,D,D,-2.96484375,-4.90234375,-3.58984375,-0.09051513671875,True
42,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.37353515625,-3.701171875,-2.951171875,-1.5771484375,True
42,meta-llama/Llama-3.1-8B-Instruct,B,C,-6.765625,-0.75,-0.6875,-4.875,False
42,meta-llama/Llama-3.1-8B-Instruct,C,A,-0.63037109375,-4.31640625,-1.271484375,-3.099609375,False
42,meta-llama/Llama-3.1-8B-Instruct,D,D,-5.26953125,-1.017578125,-5.94140625,-0.470947265625,True
43,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0188140869140625,-5.58203125,-7.06640625,-6.50390625,True
43,meta-llama/Llama-3.1-8B-Instruct,B,B,-6.4453125,-0.006511688232421875,-8.0859375,-8.3671875,True
43,meta-llama/Llama-3.1-8B-Instruct,C,C,-3.556640625,-4.77734375,-0.041534423828125,-6.51171875,True
43,meta-llama/Llama-3.1-8B-Instruct,D,D,-4.87109375,-7.37109375,-8.5,-0.0119476318359375,True
44,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.00580596923828125,-9.4921875,-9.2265625,-5.62890625,True
44,meta-llama/Llama-3.1-8B-Instruct,B,B,-4.8203125,-0.0236968994140625,-7.5859375,-7.7734375,True
44,meta-llama/Llama-3.1-8B-Instruct,C,C,-4.6171875,-3.708984375,-0.03759765625,-7.4296875,True
44,meta-llama/Llama-3.1-8B-Instruct,D,D,-4.68359375,-9.4609375,-7.52734375,-0.01160430908203125,True
45,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0648193359375,-5.92578125,-5.64453125,-4.47265625,True
45,meta-llama/Llama-3.1-8B-Instruct,B,B,-6.08984375,-0.1661376953125,-5.71484375,-2.353515625,True
45,meta-llama/Llama-3.1-8B-Instruct,C,C,-6.81640625,-6.86328125,-0.035614013671875,-4.06640625,True
45,meta-llama/Llama-3.1-8B-Instruct,D,D,-4.71484375,-7.04296875,-7.77734375,-0.027557373046875,True
46,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.08465576171875,-3.849609375,-4.7890625,-3.193359375,True
46,meta-llama/Llama-3.1-8B-Instruct,B,B,-2.517578125,-0.127197265625,-5.28515625,-3.626953125,True
46,meta-llama/Llama-3.1-8B-Instruct,C,A,-0.0931396484375,-4.953125,-3.375,-3.390625,False
46,meta-llama/Llama-3.1-8B-Instruct,D,A,-0.09747314453125,-5.25390625,-6.45703125,-2.64453125,False
47,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.021697998046875,-6.2265625,-5.9609375,-4.3984375,True
47,meta-llama/Llama-3.1-8B-Instruct,B,B,-5.109375,-0.01436614990234375,-7.46875,-5.84375,True
47,meta-llama/Llama-3.1-8B-Instruct,C,C,-4.046875,-6.984375,-0.030609130859375,-4.984375,True
47,meta-llama/Llama-3.1-8B-Instruct,D,D,-3.552734375,-7.3671875,-7.2109375,-0.0528564453125,True
48,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.44580078125,-5.1328125,-6.2578125,-1.4306640625,True
48,meta-llama/Llama-3.1-8B-Instruct,B,D,-0.79931640625,-4.05078125,-5.75390625,-0.68994140625,False
48,meta-llama/Llama-3.1-8B-Instruct,C,D,-1.5791015625,-5.78125,-3.814453125,-0.40771484375,False
48,meta-llama/Llama-3.1-8B-Instruct,D,D,-1.103515625,-5.3203125,-5.1640625,-0.47802734375,True
49,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.10247802734375,-2.5078125,-4.4140625,-5.6015625,True
49,meta-llama/Llama-3.1-8B-Instruct,B,B,-1.50390625,-0.269775390625,-4.33203125,-7.23828125,True
49,meta-llama/Llama-3.1-8B-Instruct,C,B,-8.234375,-0.0192413330078125,-4.22265625,-5.72265625,False
49,meta-llama/Llama-3.1-8B-Instruct,D,A,-0.07098388671875,-7.0078125,-5.7734375,-2.7734375,False
50,meta-llama/Llama-3.1-8B-Instruct,A,D,-1.314453125,-2.517578125,-3.236328125,-0.611328125,False
50,meta-llama/Llama-3.1-8B-Instruct,B,D,-2.984375,-1.2646484375,-3.5625,-0.6396484375,False
50,meta-llama/Llama-3.1-8B-Instruct,C,D,-1.6279296875,-1.5966796875,-3.12890625,-0.8310546875,False
50,meta-llama/Llama-3.1-8B-Instruct,D,C,-1.55078125,-2.31640625,-0.410400390625,-3.83203125,False
51,meta-llama/Llama-3.1-8B-Instruct,A,B,-4.125,-0.0953369140625,-2.830078125,-4.328125,False
51,meta-llama/Llama-3.1-8B-Instruct,B,A,-0.67333984375,-4.890625,-0.78271484375,-3.845703125,False
51,meta-llama/Llama-3.1-8B-Instruct,C,A,-0.5859375,-4.4296875,-6.0078125,-0.8515625,False
51,meta-llama/Llama-3.1-8B-Instruct,D,B,-1.748046875,-0.248291015625,-3.482421875,-4.328125,False
52,meta-llama/Llama-3.1-8B-Instruct,A,B,-2.51171875,-0.0902099609375,-9.203125,-7.69921875,False
52,meta-llama/Llama-3.1-8B-Instruct,B,D,-9.453125,-6.28515625,-9.828125,-0.00348663330078125,False
52,meta-llama/Llama-3.1-8B-Instruct,C,A,-0.006839752197265625,-9.4140625,-5.4765625,-7.7578125,False
52,meta-llama/Llama-3.1-8B-Instruct,D,D,-8.1171875,-0.94140625,-9.4921875,-0.51953125,True
53,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.11834716796875,-8.1796875,-2.197265625,-9.5859375,True
53,meta-llama/Llama-3.1-8B-Instruct,B,B,-5.9140625,-0.0088043212890625,-5.1171875,-9.6640625,True
53,meta-llama/Llama-3.1-8B-Instruct,C,B,-7.0390625,-0.08599853515625,-2.5078125,-9.7421875,False
53,meta-llama/Llama-3.1-8B-Instruct,D,D,-4.8828125,-9.9453125,-9.8828125,-0.008514404296875,True
54,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.1151123046875,-2.333984375,-6.31640625,-4.84765625,True
54,meta-llama/Llama-3.1-8B-Instruct,B,B,-4.05078125,-0.097412109375,-4.58203125,-2.80078125,True
54,meta-llama/Llama-3.1-8B-Instruct,C,C,-3.548828125,-7.25,-0.0323486328125,-6.21875,True
54,meta-llama/Llama-3.1-8B-Instruct,D,D,-6.14453125,-9.3515625,-7.67578125,-0.005046844482421875,True
55,meta-llama/Llama-3.1-8B-Instruct,A,B,-5.48828125,-0.0054168701171875,-9.1484375,-8.2578125,False
55,meta-llama/Llama-3.1-8B-Instruct,B,D,-5.6953125,-10.3671875,-9.9453125,-0.006160736083984375,False
55,meta-llama/Llama-3.1-8B-Instruct,C,D,-5.6171875,-11.1796875,-8.9609375,-0.005970001220703125,False
55,meta-llama/Llama-3.1-8B-Instruct,D,B,-5.3203125,-0.2880859375,-6.3671875,-1.4287109375,False
56,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0001398324966430664,-9.734375,-10.53125,-11.15625,True
56,meta-llama/Llama-3.1-8B-Instruct,B,B,-12.34375,-0.0005311965942382812,-13.375,-12.90625,True
56,meta-llama/Llama-3.1-8B-Instruct,C,C,-9.46875,-12.0625,-0.00027561187744140625,-11.25,True
56,meta-llama/Llama-3.1-8B-Instruct,D,D,-8.421875,-11.96875,-11.328125,-0.0015344619750976562,True
57,meta-llama/Llama-3.1-8B-Instruct,A,D,-1.6015625,-2.8515625,-6.1015625,-0.3046875,False
57,meta-llama/Llama-3.1-8B-Instruct,B,B,-4.875,-0.3447265625,-4.25,-1.3447265625,True
57,meta-llama/Llama-3.1-8B-Instruct,C,C,-2.630859375,-4.75390625,-0.09912109375,-4.30078125,True
57,meta-llama/Llama-3.1-8B-Instruct,D,D,-3.0,-3.890625,-1.1396484375,-0.499267578125,True
58,meta-llama/Llama-3.1-8B-Instruct,A,C,-1.7998046875,-5.31640625,-0.409423828125,-2.25390625,False
58,meta-llama/Llama-3.1-8B-Instruct,B,B,-4.45703125,-0.22216796875,-2.01953125,-3.28515625,True
58,meta-llama/Llama-3.1-8B-Instruct,C,C,-1.751953125,-4.734375,-0.251708984375,-3.486328125,True
58,meta-llama/Llama-3.1-8B-Instruct,D,C,-2.919921875,-5.140625,-0.560546875,-1.373046875,False
59,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.024169921875,-5.2109375,-4.8828125,-5.8984375,True
59,meta-llama/Llama-3.1-8B-Instruct,B,B,-7.0234375,-0.00954437255859375,-6.7578125,-8.0546875,True
59,meta-llama/Llama-3.1-8B-Instruct,C,B,-4.0546875,-0.5703125,-0.9296875,-6.0703125,False
59,meta-llama/Llama-3.1-8B-Instruct,D,D,-6.39453125,-10.1640625,-7.73828125,-0.004039764404296875,True
60,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.01593017578125,-4.84375,-6.609375,-5.0625,True
60,meta-llama/Llama-3.1-8B-Instruct,B,B,-5.4921875,-0.0080718994140625,-7.1328125,-5.9140625,True
60,meta-llama/Llama-3.1-8B-Instruct,C,C,-1.857421875,-6.54296875,-0.1854248046875,-4.44921875,True
60,meta-llama/Llama-3.1-8B-Instruct,D,D,-2.76953125,-8.625,-7.47265625,-0.06597900390625,True
61,meta-llama/Llama-3.1-8B-Instruct,A,C,-3.41015625,-7.50390625,-0.034515380859375,-8.546875,False
61,meta-llama/Llama-3.1-8B-Instruct,B,A,-0.08612060546875,-2.5078125,-7.0234375,-9.4453125,False
61,meta-llama/Llama-3.1-8B-Instruct,C,A,-0.12164306640625,-5.49609375,-2.38671875,-3.99609375,False
61,meta-llama/Llama-3.1-8B-Instruct,D,A,-0.1072998046875,-5.58984375,-3.451171875,-2.732421875,False
62,meta-llama/Llama-3.1-8B-Instruct,A,D,-3.5,-6.1875,-4.34375,-0.047637939453125,False
62,meta-llama/Llama-3.1-8B-Instruct,B,A,-0.023193359375,-5.2421875,-4.3671875,-6.4453125,False
62,meta-llama/Llama-3.1-8B-Instruct,C,D,-1.9609375,-5.4140625,-5.4296875,-0.1636962890625,False
62,meta-llama/Llama-3.1-8B-Instruct,D,C,-2.158203125,-6.97265625,-0.126953125,-6.17578125,False
63,meta-llama/Llama-3.1-8B-Instruct,A,B,-6.90234375,-0.36962890625,-1.275390625,-4.33984375,False
63,meta-llama/Llama-3.1-8B-Instruct,B,A,-0.5830078125,-7.97265625,-5.59765625,-0.8486328125,False
63,meta-llama/Llama-3.1-8B-Instruct,C,D,-0.81201171875,-7.40625,-6.75,-0.60888671875,False
63,meta-llama/Llama-3.1-8B-Instruct,D,A,-0.0491943359375,-4.19140625,-7.06640625,-4.36328125,False
64,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0006723403930664062,-11.09375,-10.5625,-8.75,True
64,meta-llama/Llama-3.1-8B-Instruct,B,B,-8.953125,-0.017059326171875,-9.828125,-5.78125,True
64,meta-llama/Llama-3.1-8B-Instruct,C,C,-8.5,-11.140625,-0.0005645751953125,-8.671875,True
64,meta-llama/Llama-3.1-8B-Instruct,D,D,-7.00390625,-7.61328125,-9.3359375,-0.004238128662109375,True
65,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.00868988037109375,-9.1171875,-7.9140625,-6.8671875,True
65,meta-llama/Llama-3.1-8B-Instruct,B,B,-9.40625,-0.0177764892578125,-9.203125,-7.59765625,True
65,meta-llama/Llama-3.1-8B-Instruct,C,C,-8.984375,-10.609375,-0.0037555694580078125,-8.078125,True
65,meta-llama/Llama-3.1-8B-Instruct,D,D,-8.65625,-11.15625,-9.90625,-0.001346588134765625,True
66,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.024810791015625,-7.4609375,-6.2421875,-4.7734375,True
66,meta-llama/Llama-3.1-8B-Instruct,B,B,-5.796875,-0.0457763671875,-5.28125,-3.591796875,True
66,meta-llama/Llama-3.1-8B-Instruct,C,C,-3.6953125,-3.2109375,-0.0711669921875,-6.2109375,True
66,meta-llama/Llama-3.1-8B-Instruct,D,D,-3.201171875,-5.5625,-5.8125,-0.0771484375,True
67,meta-llama/Llama-3.1-8B-Instruct,A,A,-0.0029087066650390625,-9.640625,-8.4375,-8.46875,True
67,meta-llama/Llama-3.1-8B-Instruct,B,B,-8.4375,-0.0016422271728515625,-8.203125,-8.859375,True
67,meta-llama/Llama-3.1-8B-Instruct,C,C,-6.73828125,-7.84765625,-0.00307464599609375,-7.64453125,True
67,meta-llama/Llama-3.1-8B-Instruct,D,D,-5.875,-9.375,-8.453125,-0.0155181884765625,True
68,meta-llama/Llama-3.1-8B-Instruct,A,B,-3.990234375,-0.490966796875,-1.1318359375,-4.2109375,False
68,meta-llama/Llama-3.1-8B-Instruct,B,C,-1.478515625,-3.103515625,-0.33837890625,-4.71484375,False
68,meta-llama/Llama-3.1-8B-Instruct,C,B,-2.287109375,-0.209716796875,-3.130859375,-4.9609375,False
68,meta-llama/Llama-3.1-8B-Instruct,D,D,-2.205078125,-4.71875,-5.25,-0.1419677734375,True
